expmod,kurt,Li,count1,count2
135,0.23413,49.342,19.25,73.75
150,-0.64581,28.785,45.0,89.25
180,0.26447,32.381,28.5,78.25
135,0.65061,16.677,28.5,77.5
120,-0.14313,12.484000000000002,24.75,74.75
150,0.20921,9.4778,29.25,82.25
135,0.071439,10.861,25.5,77.5
135,-0.58353,27.08,22.5,83.25
120,0.13471,11.769,21.75,79.5
120,-0.2479,11.193,29.75,87.0
165,0.083376,21.653,29.25,89.5
135,0.15256,18.761,20.5,79.0
165,-0.11037,18.446,31.0,86.0
150,0.27763000000000004,15.895,29.5,90.25
120,0.2852,16.756,27.0,85.5
135,0.26805,15.541,22.75,75.25
150,0.20426,16.031,18.75,83.25
150,0.091816,16.434,21.0,79.75
135,0.05712,20.642,20.0,81.0
150,-0.32576,17.452,29.75,93.25
120,0.028132,12.076,28.5,86.75
105,-0.19384,40.926,27.25,82.25
135,0.2067,12.136,27.75,94.5
120,0.042593,10.229,21.75,83.0
135,-0.070873,16.585,32.0,84.75
105,-0.161,12.454,21.25,86.25
150,-0.33191,20.784,27.0,90.25
135,0.053099,11.265999999999998,23.25,84.0
105,0.16632,10.373,28.25,85.0
120,-0.27834000000000003,17.764,26.5,84.25
120,0.14536,10.689,29.25,85.5
120,-0.18879,20.473,31.5,85.0
105,-0.21664,16.846,28.0,78.75
105,0.037213,15.303,18.25,78.0
120,-0.35034,7.9609,31.0,89.5
120,-0.23408,10.839,28.25,90.75
105,0.014374,9.7241,23.25,86.5
105,-0.3990800000000001,9.8073,28.0,83.0
120,-0.25231,7.2035,24.75,85.0
120,-0.28601,17.736,35.0,89.75
105,-0.24859,11.252,23.25,78.5
105,-0.22645,7.6129,24.0,81.25
105,-0.4154600000000001,8.8077,28.75,89.5
120,-0.1964,7.2275,21.25,88.0
120,-0.33499,9.1179,34.5,88.0
120,-0.37793,10.287,29.0,79.75
105,-0.14662999999999998,9.1122,18.25,80.75
105,-0.4325100000000001,6.3814,26.5,87.0
120,-0.11814,8.5648,23.0,83.25
120,-0.34553,8.1367,27.0,85.25
105,-0.31367,10.633,21.0,86.75
105,-0.098685,11.373,19.0,80.25
105,-0.39664,6.7589,26.25,87.75
120,-0.10167,8.0789,21.75,78.5
120,-0.27271,10.608,29.0,85.0
120,-0.31876,9.4044,32.5,92.5
120,-0.37997,9.641,32.25,87.5
105,-0.28145,8.0629,25.75,80.5
105,-0.25114000000000003,9.7881,24.25,85.5
105,-0.43149,9.6811,24.25,82.5
120,-0.21923,15.348,18.25,82.0
120,-0.31241,15.390999999999998,27.25,84.75
120,-0.12263,11.126,22.25,79.0
105,-0.42368,16.361,19.75,79.5
135,-0.088321,10.099,25.5,83.25
135,-0.21674,7.9062,32.25,88.5
105,0.025004,18.432,22.75,78.25
105,-0.2635,10.283,26.75,80.0
120,-0.4296,14.207,31.25,83.0
120,-0.017054,15.026,37.25,94.5
105,-0.34094,11.168,33.0,91.0
105,-0.37446,11.576,23.75,76.5
105,0.14254,9.515,19.25,75.0
135,-0.34961,22.108,24.0,83.25
135,0.04331,8.5601,25.75,89.25
150,-0.18869,11.268,37.25,90.75
135,0.13344,14.143,23.25,83.75
135,-0.55109,49.899,36.0,89.5
105,-0.38486,8.9963,27.0,78.75
105,-0.047038,10.021,21.0,80.25
135,-0.49142,11.738,31.75,91.75
120,-0.1085,16.461,33.75,89.0
135,-0.37744,11.562,31.0,88.0
120,-0.17343,16.271,25.0,88.25
105,-0.27598,10.618,27.5,81.0
120,0.25949,64.449,27.25,76.0
120,-0.16841,19.498,22.25,74.25
120,-0.1571,34.997,25.0,82.25
135,0.057336,54.84,26.25,87.75
135,-0.4371600000000001,10.305,27.75,87.75
105,0.23967,44.724,16.75,81.0
105,0.21544,10.861,25.0,77.75
105,-0.28488,27.326,25.0,79.5
135,0.025881,11.067,16.75,72.75
210,-1.5411,27.151,46.5,90.5
120,-0.37744,14.222,30.25,92.0
135,-0.22585,9.6601,19.0,75.0
120,-0.29739,16.75,27.0,84.75
135,-0.49825,21.403,29.5,89.5
120,0.027716,47.42,23.25,73.0
120,-0.31111,12.654000000000002,34.0,89.75
135,-0.29907,26.828000000000007,24.5,79.75
105,-0.34899,10.26,26.75,90.5
135,-0.062515,51.449,29.5,90.5
105,-0.22132,8.6932,25.0,87.0
120,-0.050014,18.929,26.25,76.75
120,-0.08634700000000001,44.592,18.5,88.0
150,-0.23601,16.16,24.0,81.75
135,-0.040714,19.476,26.5,86.0
105,-0.22764,17.038,26.25,79.25
105,0.005363399999999999,15.005999999999998,21.75,79.25
120,-0.29763,61.484,28.5,83.5
120,-0.097639,10.65,22.25,84.5
105,-0.45579,9.2998,24.0,77.75
120,0.45909,21.955,17.25,79.0
105,-0.21569,21.766,27.5,89.75
120,-0.1833,32.483000000000004,18.75,84.25
120,-0.4683600000000001,35.775,29.25,80.25
120,-0.079335,20.226,29.0,83.25
165,-0.47375,53.519,20.75,77.0
105,-0.4296,10.467,26.5,79.5
165,-0.18066,57.727,24.0,83.25
165,-0.20372,65.01899999999999,32.5,87.5
120,-0.22731,17.605999999999995,28.0,87.25
180,0.23486,47.78,32.0,83.25
120,-0.39344,37.823,21.25,80.0
120,0.16143,21.931,28.25,89.5
150,0.017686,13.956,20.5,93.25
135,-0.06646,49.31399999999999,24.0,88.25
150,-0.15214,25.187,34.25,86.25
180,-1.4275,27.003,34.75,84.75
135,-0.080226,52.913,25.5,78.5
135,0.07174900000000001,25.79,15.25,78.75
135,-0.46861,25.665,28.0,87.25
150,-0.11612,24.071,27.0,84.0
135,-0.034289,59.06100000000001,23.75,81.25
135,-0.2167,18.973,29.0,88.25
135,-0.43229,32.313,25.0,88.0
135,-0.17236,57.261,17.75,77.5
120,-0.35608,22.192,32.25,78.75
120,-0.5237,11.095999999999998,24.25,85.25
105,-0.36921,53.589,19.75,78.0
135,-0.29758,25.382,20.75,78.25
150,-0.85656,43.283,32.0,86.5
120,0.0035114000000000005,25.71,19.75,79.5
150,-0.36216,54.272,26.5,85.25
120,-0.05629500000000001,21.881,21.25,84.25
135,-0.32909,11.449000000000002,26.75,85.25
120,-0.37579,23.92,18.0,80.25
120,-0.62355,29.985,20.75,84.5
120,-0.10754,28.076,26.0,81.25
135,-0.39849,17.379,25.5,89.25
135,-0.57894,29.754,26.0,84.25
135,-0.15925999999999998,30.068,22.5,80.5
120,-0.17562,13.276,25.5,84.25
120,-0.31999,36.14,22.5,78.25
135,-0.5029100000000001,28.965,23.25,80.75
150,-0.4157,21.056,22.5,90.75
135,-0.25384,35.446,27.5,75.75
135,-0.15454,47.99,29.75,79.25
135,-0.49851,72.692,20.75,73.25
105,-0.24696,26.045,23.25,80.5
135,-0.41653,28.746,24.75,88.75
135,-0.37902,17.044,26.25,85.0
120,-0.27984000000000003,53.24,21.0,83.75
150,-0.38417,23.368,26.5,83.5
135,-0.14456,39.63800000000001,29.5,78.5
135,-0.25698000000000004,18.998,29.75,78.0
120,-0.33239,23.682,32.5,88.5
135,-0.55838,11.812,24.25,90.5
180,-1.5356,28.45,34.75,92.75
120,-0.090429,30.302,22.25,76.25
105,-0.4194100000000001,19.143,30.0,89.5
105,-0.46647,22.359,23.75,83.75
135,-0.32537,26.108,28.5,84.75
150,-0.36881,37.146,31.5,74.5
120,-0.20247,49.51600000000001,25.25,87.5
120,-0.38771,32.973,31.25,77.75
150,-0.4789,19.556,30.25,79.0
120,-0.3038,68.135,29.0,80.0
120,-0.41547,27.896,21.0,78.75
150,-0.36884,30.083,20.75,79.5
135,-0.59491,25.552,30.25,87.75
120,-0.25339,20.404,31.5,85.75
120,-0.11036,26.841,26.25,89.5
165,-0.7319399999999999,24.353,35.5,89.75
135,-0.82053,42.232,26.0,90.25
135,-0.32505,24.61,26.0,79.0
120,-0.049961,17.64,20.5,79.75
120,-0.20174,30.448,24.5,91.0
105,-0.27533,22.66,20.25,81.75
150,-0.30494,28.473000000000006,28.5,82.25
120,-0.7605,22.237,33.5,97.0
135,-0.29017,23.843000000000004,28.0,75.25
210,-1.5215,23.261,59.0,101.75
120,-0.33772,57.87600000000001,22.0,88.25
120,-0.43803,17.933,29.25,89.5
